path_name,city,date,winner,winning_margin,winning_margin_runs,player_of_match,venue,team1,team2,toss_winner,toss_decision,winning_margin_wickets
1473456.json,Kolkata,2025-04-08,Lucknow Super Giants,{'runs': 4},4.0,N Pooran,"Eden Gardens, Kolkata",Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,
1426271.json,Mohali,2024-04-18,Mumbai Indians,{'runs': 9},9.0,JJ Bumrah,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mumbai Indians,Punjab Kings,Punjab Kings,field,
1422137.json,Jaipur,2024-04-06,Rajasthan Royals,{'wickets': 6},,JC Buttler,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,6.0
1422121.json,Kolkata,2024-03-23,Kolkata Knight Riders,{'runs': 4},4.0,AD Russell,"Eden Gardens, Kolkata",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,
1422120.json,Mohali,2024-03-23,Punjab Kings,{'wickets': 4},,SM Curran,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Delhi Capitals,Punjab Kings,Punjab Kings,field,4.0
1422136.json,Hyderabad,2024-04-05,Sunrisers Hyderabad,{'wickets': 6},,Abhishek Sharma,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,6.0
1426270.json,Ahmedabad,2024-04-17,Delhi Capitals,{'wickets': 6},,RR Pant,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Delhi Capitals,Delhi Capitals,field,6.0
1473457.json,Hyderabad,2025-04-06,Gujarat Titans,{'wickets': 7},,Mohammed Siraj,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,field,7.0
1473441.json,Visakhapatnam,2025-03-24,Delhi Capitals,{'wickets': 1},,Ashutosh Sharma,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,1.0
1426266.json,Kolkata,2024-04-14,Kolkata Knight Riders,{'wickets': 8},,PD Salt,"Eden Gardens, Kolkata",Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,8.0
1426289.json,Mumbai,2024-05-03,Kolkata Knight Riders,{'runs': 24},24.0,VR Iyer,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,
1473461.json,Bengaluru,2025-04-10,Delhi Capitals,{'wickets': 6},,KL Rahul,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,6.0
1426303.json,Guwahati,2024-05-15,Punjab Kings,{'wickets': 5},,SM Curran,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,5.0
1426293.json,Mumbai,2024-05-06,Mumbai Indians,{'wickets': 7},,SA Yadav,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,7.0
1426285.json,Kolkata,2024-04-29,Kolkata Knight Riders,{'wickets': 7},,CV Varun,"Eden Gardens, Kolkata",Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,7.0
1473462.json,Chennai,2025-04-11,Kolkata Knight Riders,{'wickets': 8},,SP Narine,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,8.0
1426300.json,Bengaluru,2024-05-12,Royal Challengers Bengaluru,{'runs': 47},47.0,C Green,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,
1422139.json,Lucknow,2024-04-07,Lucknow Super Giants,{'runs': 33},33.0,Yash Thakur,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,bat,
1426290.json,Bengaluru,2024-05-04,Royal Challengers Bengaluru,{'wickets': 4},,Mohammed Siraj,"M Chinnaswamy Stadium, Bengaluru",Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,4.0
1473458.json,Mumbai,2025-04-07,Royal Challengers Bengaluru,{'runs': 12},12.0,RM Patidar,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,
1426286.json,Lucknow,2024-04-30,Lucknow Super Giants,{'wickets': 4},,MP Stoinis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,field,4.0
1426269.json,Kolkata,2024-04-16,Rajasthan Royals,{'wickets': 2},,JC Buttler,"Eden Gardens, Kolkata",Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,2.0
1473439.json,Hyderabad,2025-03-23,Sunrisers Hyderabad,{'runs': 44},44.0,Ishan Kishan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,
1422123.json,Ahmedabad,2024-03-24,Gujarat Titans,{'runs': 6},6.0,B Sai Sudharsan,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Mumbai Indians,Mumbai Indians,field,
1422135.json,Ahmedabad,2024-04-04,Punjab Kings,{'wickets': 3},,Shashank Singh,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Punjab Kings,Punjab Kings,field,3.0
1422119.json,Chennai,2024-03-22,Chennai Super Kings,{'wickets': 6},,Mustafizur Rahman,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,bat,6.0
1426273.json,Delhi,2024-04-20,Sunrisers Hyderabad,{'runs': 67},67.0,TM Head,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,
1473454.json,Chennai,2025-04-05,Delhi Capitals,{'runs': 25},25.0,KL Rahul,"MA Chidambaram Stadium, Chepauk, Chennai",Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,
1473442.json,Ahmedabad,2025-03-25,Punjab Kings,{'runs': 11},11.0,SS Iyer,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,Gujarat Titans,Gujarat Titans,field,
1426265.json,Mohali,2024-04-13,Rajasthan Royals,{'wickets': 3},,SO Hetmyer,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,3.0
1426264.json,Lucknow,2024-04-12,Delhi Capitals,{'wickets': 6},,Kuldeep Yadav,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,bat,6.0
1473443.json,Guwahati,2025-03-26,Kolkata Knight Riders,{'wickets': 8},,Q de Kock,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,8.0
1473455.json,Mohali,2025-04-05,Rajasthan Royals,{'runs': 50},50.0,JC Archer,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Rajasthan Royals,Punjab Kings,Punjab Kings,field,
1426272.json,Lucknow,2024-04-19,Lucknow Super Giants,{'wickets': 8},,KL Rahul,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,8.0
1422134.json,Visakhapatnam,2024-04-03,Kolkata Knight Riders,{'runs': 106},106.0,SP Narine,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,
1473438.json,Kolkata,2025-03-22,Royal Challengers Bengaluru,{'wickets': 7},,KH Pandya,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,7.0
1422122.json,Jaipur,2024-03-24,Rajasthan Royals,{'runs': 20},20.0,SV Samson,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,
1426287.json,Chennai,2024-05-01,Punjab Kings,{'wickets': 7},,Harpreet Brar,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Punjab Kings,Punjab Kings,field,7.0
1426268.json,Bengaluru,2024-04-15,Sunrisers Hyderabad,{'runs': 25},25.0,TM Head,"M Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,
1473459.json,Mohali,2025-04-08,Punjab Kings,{'runs': 18},18.0,Priyansh Arya,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Punjab Kings,Chennai Super Kings,Punjab Kings,bat,
1426291.json,Dharamsala,2024-05-05,Chennai Super Kings,{'runs': 28},28.0,RA Jadeja,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Chennai Super Kings,Punjab Kings,Punjab Kings,field,
1422138.json,Mumbai,2024-04-07,Mumbai Indians,{'runs': 29},29.0,R Shepherd,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Delhi Capitals,field,
1473463.json,Lucknow,2025-04-12,Lucknow Super Giants,{'wickets': 6},,AK Markram,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,field,6.0
1473468.json,Mohali,2025-04-15,Punjab Kings,{'runs': 16},16.0,YS Chahal,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,
1422125.json,Chennai,2024-03-26,Chennai Super Kings,{'runs': 63},63.0,S Dube,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,
1422133.json,Bengaluru,2024-04-02,Lucknow Super Giants,{'runs': 28},28.0,MP Yadav,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,
1426275.json,Mohali,2024-04-21,Gujarat Titans,{'wickets': 3},,R Sai Kishore,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Punjab Kings,Gujarat Titans,Punjab Kings,bat,3.0
1473452.json,Kolkata,2025-04-03,Kolkata Knight Riders,{'runs': 80},80.0,VG Arora,"Eden Gardens, Kolkata",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,
1473444.json,Hyderabad,2025-03-27,Lucknow Super Giants,{'wickets': 5},,SN Thakur,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,5.0
1426263.json,Mumbai,2024-04-11,Mumbai Indians,{'wickets': 7},,JJ Bumrah,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,7.0
1473464.json,Hyderabad,2025-04-12,Sunrisers Hyderabad,{'wickets': 8},,Abhishek Sharma,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,8.0
1426306.json,Bengaluru,2024-05-18,Royal Challengers Bengaluru,{'runs': 27},27.0,F du Plessis,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,
1422129.json,Lucknow,2024-03-30,Lucknow Super Giants,{'runs': 21},21.0,MP Yadav,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,
1426310.json,Ahmedabad,2024-05-22,Rajasthan Royals,{'wickets': 4},,R Ashwin,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,4.0
1426296.json,Dharamsala,2024-05-09,Royal Challengers Bengaluru,{'runs': 60},60.0,V Kohli,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,
1426279.json,Hyderabad,2024-04-25,Royal Challengers Bengaluru,{'runs': 35},35.0,RM Patidar,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,
1473448.json,Guwahati,2025-03-30,Rajasthan Royals,{'runs': 6},6.0,N Rana,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,
1426280.json,Kolkata,2024-04-26,Punjab Kings,{'wickets': 8},,JM Bairstow,"Eden Gardens, Kolkata",Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,8.0
1426281.json,Delhi,2024-04-27,Delhi Capitals,{'runs': 10},10.0,J Fraser-McGurk,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Mumbai Indians,Mumbai Indians,field,
1473449.json,Mumbai,2025-03-31,Mumbai Indians,{'wickets': 8},,Ashwani Kumar,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,8.0
1426297.json,Ahmedabad,2024-05-10,Gujarat Titans,{'runs': 35},35.0,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,
1426278.json,Delhi,2024-04-24,Delhi Capitals,{'runs': 4},4.0,RR Pant,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Gujarat Titans,Gujarat Titans,field,
1426311.json,Chennai,2024-05-24,Sunrisers Hyderabad,{'runs': 36},36.0,Shahbaz Ahmed,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,
1422128.json,Bengaluru,2024-03-29,Kolkata Knight Riders,{'wickets': 7},,SP Narine,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,7.0
1426307.json,Hyderabad,2024-05-19,Sunrisers Hyderabad,{'wickets': 4},,Abhishek Sharma,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,4.0
1473465.json,Jaipur,2025-04-13,Royal Challengers Bengaluru,{'wickets': 9},,PD Salt,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,9.0
1426262.json,Jaipur,2024-04-10,Gujarat Titans,{'wickets': 3},,Rashid Khan,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,3.0
1473445.json,Chennai,2025-03-28,Royal Challengers Bengaluru,{'runs': 50},50.0,RM Patidar,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,
1473453.json,Lucknow,2025-04-04,Lucknow Super Giants,{'runs': 12},12.0,DS Rathi,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,
1426274.json,Kolkata,2024-04-21,Kolkata Knight Riders,{'runs': 1},1.0,AD Russell,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,
1422132.json,Mumbai,2024-04-01,Rajasthan Royals,{'wickets': 6},,TA Boult,"Wankhede Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,6.0
1422124.json,Bengaluru,2024-03-25,Royal Challengers Bengaluru,{'wickets': 4},,V Kohli,"M Chinnaswamy Stadium, Bengaluru",Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,4.0
1473469.json,Delhi,2025-04-16,Delhi Capitals,,,MA Starc,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,
